Название;Компания;Сегмент;Топливо;Категория;Цена;Дата
НБ Серпуховская;SPIMEX;spimex;"ДТ ЕВРО сорт F (ДТ-Е-К5) минус 20, НБ Серпуховская
(самовывоз автотранспортом)";ДтЗ;65000.0;09.03
НБ Ртищевская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Ртищевская НБ (самовывоз автотранспортом)";Бензин;67500.0;09.03
НБ Увекская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Увекская НБ (самовывоз автотранспортом)";Бензин;67500.0;09.03
НБ Увекская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Увекская НБ (самовывоз автотранспортом)";Бензин;69500.0;09.03
НБ Связь-Петролеум;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Связь-Петролеум (самовывоз автотранспортом)";Бензин;66000.0;09.03
НБ Связь-Петролеум;SPIMEX;spimex;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Связь-Петролеум (самовывоз автотранспортом)";Бензин;68500.0;09.03
Стрежевской НПЗ;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Стрежевской НПЗ (самовывоз автотранспортом)";Бензин;56339.0;09.03
НБ Уфимская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Уфимская НБ (самовывоз автотранспортом)";Бензин;63800.0;09.03
НБ Уфимская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Уфимская НБ (самовывоз автотранспортом)";Бензин;67200.0;09.03
НБ Уфимская;SPIMEX;spimex;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Уфимская НБ
(самовывоз автотранспортом)";ДтЗ;71550.0;09.03
ТПП Урайнефтегаз;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ТПП
Урайнефтегаз (самовывоз автотранспортом)";Бензин;72640.0;09.03
БП Сургут-25;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Сургут-25 БП (самовывоз автотранспортом)";Бензин;59029.0;09.03
БП Сургут-25;SPIMEX;spimex;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Сургут-25 БП (самовывоз автотранспортом)";Бензин;64000.0;09.03
