Название;Компания;Сегмент;Код;Широта;Долгота;Топливо;Категория;Цена;Дата
НБ Кочкомская;SPIMEX;spimex;PT_64_0339_34_2388;64.0339;34.2388;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Кочкомская (самовывоз автотранспортом)";Бензин;70000.0;05.03
НБ Кочкомская;SPIMEX;spimex;PT_64_0339_34_2388;64.0339;34.2388;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Кочкомская (самовывоз автотранспортом)";Бензин;74000.0;05.03
НБ Оленегорская;SPIMEX;spimex;PT_68_1405_33_2706;68.1405;33.2706;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Оленегорская (самовывоз автотранспортом)";Бензин;74050.0;05.03
НБ Оленегорская;SPIMEX;spimex;PT_68_1405_33_2706;68.1405;33.2706;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Оленегорская (самовывоз автотранспортом)";Бензин;74550.0;05.03
НБ Оленегорская;SPIMEX;spimex;PT_68_1405_33_2706;68.1405;33.2706;"ДТ (ДТ-З-К5) минус 32, НБ Оленегорская (самовывоз
автотранспортом)";ДтЗ;78000.0;05.03
НБ Приоритет;SPIMEX;spimex;PT_55_5666_52_4688;55.5666;52.4688;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, НБ Приоритет
(самовывоз автотранспортом)";Бензин;62000.0;05.03
НБ Приоритет;SPIMEX;spimex;PT_55_5666_52_4688;55.5666;52.4688;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Приоритет (самовывоз автотранспортом)";Бензин;63900.0;05.03
НБ Приоритет;SPIMEX;spimex;PT_55_5666_52_4688;55.5666;52.4688;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Приоритет (самовывоз автотранспортом)";Бензин;67000.0;05.03
НБ Петрозаводская;SPIMEX;spimex;PT_61_8223_34_2182;61.8223;34.2182;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Петрозаводская (самовывоз автотранспортом)";Бензин;70000.0;05.03
НБ Петрозаводская;SPIMEX;spimex;PT_61_8223_34_2182;61.8223;34.2182;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Петрозаводская (самовывоз автотранспортом)";Бензин;74000.0;05.03
