Название;Компания;Сегмент;Код;Широта;Долгота;Топливо;Категория;Цена;Дата
"Нефтебаза ""Благоевская"" (ЛИКАРД)";LUKOIL;lukoil_other;PT_63_4241_47_9527;63.4241;47.9527;Бензин;Бензин;78800.0;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;PT_55_4764_54_3104;55.4764;54.3104;Бензин;Бензин;65750.0;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;PT_55_4764_54_3104;55.4764;54.3104;Бензин;Бензин;73400.01;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;PT_55_4764_54_3104;55.4764;54.3104;Бензин;Бензин;74500.0;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;PT_55_4764_54_3104;55.4764;54.3104;Бензин;Бензин;76750.0;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;PT_55_4764_54_3104;55.4764;54.3104;Бензин;Бензин;80900.01;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;PT_55_4764_54_3104;55.4764;54.3104;Бензин;Бензин;81200.0;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;PT_55_4764_54_3104;55.4764;54.3104;Бензин;Бензин;82550.01;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;PT_55_4764_54_3104;55.4764;54.3104;ДтЗ;ДтЗ;81100.0;05.03
Нефтебаза Андреевка (ЛИКАРД);LUKOIL;lukoil_other;PT_55_4764_54_3104;55.4764;54.3104;ДтЗ;ДтЗ;81400.0;05.03
Нефтебаза Бугульма (ЛИКАРД);LUKOIL;lukoil_other;PT_54_5263_52_7532;54.5263;52.7532;Бензин;Бензин;74150.0;05.03
Нефтебаза Бугульма (ЛИКАРД);LUKOIL;lukoil_other;PT_54_5263_52_7532;54.5263;52.7532;Бензин;Бензин;78850.0;05.03
Нефтебаза Бугульма (ЛИКАРД);LUKOIL;lukoil_other;PT_54_5263_52_7532;54.5263;52.7532;Бензин;Бензин;81300.01;05.03
Нефтебаза Бугульма (ЛИКАРД);LUKOIL;lukoil_other;PT_54_5263_52_7532;54.5263;52.7532;ДтЗ;ДтЗ;81500.0;05.03
Нефтебаза Велком (ЛИКАРД);LUKOIL;lukoil_other;PT_61_0482_42_1587;61.0482;42.1587;Бензин;Бензин;80500.0;05.03
Нефтебаза Велком (ЛИКАРД);LUKOIL;lukoil_other;PT_61_0482_42_1587;61.0482;42.1587;ДтЗ;ДтЗ;80700.0;05.03
Нефтебаза Вологодская (ЛИКАРД);LUKOIL;lukoil_other;PT_59_2022_39_934;59.2022;39.934;Бензин;Бензин;80500.0;05.03
Нефтебаза Вологодская (ЛИКАРД);LUKOIL;lukoil_other;PT_59_2022_39_934;59.2022;39.934;Бензин;Бензин;81000.0;05.03
Нефтебаза Воркутинская (ЛИКАРД);LUKOIL;lukoil_other;PT_67_5447_64_089;67.5447;64.089;Бензин;Бензин;83000.0;05.03
Нефтебаза Екатеринбург (ЛИКАРД);LUKOIL;lukoil_other;PT_56_8781_60_6096;56.8781;60.6096;Бензин;Бензин;73550.01;05.03
Нефтебаза Екатеринбург (ЛИКАРД);LUKOIL;lukoil_other;PT_56_8781_60_6096;56.8781;60.6096;Бензин;Бензин;75000.0;05.03
Нефтебаза Екатеринбург (ЛИКАРД);LUKOIL;lukoil_other;PT_56_8781_60_6096;56.8781;60.6096;ДтЗ;ДтЗ;75200.01;05.03
Нефтебаза Иглино (ЛИКАРД);LUKOIL;lukoil_other;PT_54_8231_56_3964;54.8231;56.3964;Бензин;Бензин;67750.0;05.03
Нефтебаза Иглино (ЛИКАРД);LUKOIL;lukoil_other;PT_54_8231_56_3964;54.8231;56.3964;Бензин;Бензин;71750.01;05.03
Нефтебаза Иглино (ЛИКАРД);LUKOIL;lukoil_other;PT_54_8231_56_3964;54.8231;56.3964;ДтЗ;ДтЗ;81000.0;05.03
Нефтебаза Интинская (ЛИКАРД);LUKOIL;lukoil_other;PT_66_0259_60_0658;66.0259;60.0658;Бензин;Бензин;94100.0;05.03
Нефтебаза Киров (ЛИКАРД);LUKOIL;lukoil_other;PT_58_5698_49_6242;58.5698;49.6242;Бензин;Бензин;74950.0;05.03
Нефтебаза Киров (ЛИКАРД);LUKOIL;lukoil_other;PT_58_5698_49_6242;58.5698;49.6242;Бензин;Бензин;76000.0;05.03
Нефтебаза Киров (ЛИКАРД);LUKOIL;lukoil_other;PT_58_5698_49_6242;58.5698;49.6242;ДтЗ;ДтЗ;76100.0;05.03
Нефтебаза Когалым (ЛИКАРД);LUKOIL;lukoil_other;PT_62_2775_74_5174;62.2775;74.5174;Бензин;Бензин;71250.0;05.03
Нефтебаза Когалым (ЛИКАРД);LUKOIL;lukoil_other;PT_62_2775_74_5174;62.2775;74.5174;Бензин;Бензин;75050.0;05.03
Нефтебаза Когалым (ЛИКАРД);LUKOIL;lukoil_other;PT_62_2775_74_5174;62.2775;74.5174;Бензин;Бензин;78500.0;05.03
Нефтебаза ЛАНТА-Петролеум (ЛИКАРД);LUKOIL;lukoil_other;PT_59_6625_30_2236;59.6625;30.2236;Бензин;Бензин;83600.0;05.03
Нефтебаза ЛАНТА-Петролеум (ЛИКАРД);LUKOIL;lukoil_other;PT_59_6625_30_2236;59.6625;30.2236;ДтЗ;ДтЗ;77300.01;05.03
Нефтебаза ЛАНТА-Петролеум (ЛИКАРД);LUKOIL;lukoil_other;PT_59_6625_30_2236;59.6625;30.2236;ДтЗ;ДтЗ;82300.0;05.03
Нефтебаза Мурманская (ЛИКАРД);LUKOIL;lukoil_other;PT_69_012_33_1131;69.012;33.1131;Бензин;Бензин;77000.0;05.03
Нефтебаза Мурманская (ЛИКАРД);LUKOIL;lukoil_other;PT_69_012_33_1131;69.012;33.1131;ДтЗ;ДтЗ;84000.0;05.03
Нефтебаза Новоселки (ЛИКАРД);LUKOIL;lukoil_other;PT_55_3442_37_5705;55.3442;37.5705;Бензин;Бензин;63800.0;05.03
Нефтебаза Новоселки (ЛИКАРД);LUKOIL;lukoil_other;PT_55_3442_37_5705;55.3442;37.5705;Бензин;Бензин;71100.0;05.03
Нефтебаза Оренбург (ЛИКАРД);LUKOIL;lukoil_other;PT_51_6869_55_0793;51.6869;55.0793;Бензин;Бензин;78050.0;05.03
Нефтебаза Оренбург (ЛИКАРД);LUKOIL;lukoil_other;PT_51_6869_55_0793;51.6869;55.0793;Бензин;Бензин;80000.0;05.03
Нефтебаза Пермь (ЛИКАРД);LUKOIL;lukoil_other;PT_57_9093_56_146;57.9093;56.146;Бензин;Бензин;64850.0;05.03
Нефтебаза Пермь (ЛИКАРД);LUKOIL;lukoil_other;PT_57_9093_56_146;57.9093;56.146;ДтЗ;ДтЗ;69800.01;05.03
Нефтебаза Подберезье (ЛИКАРД);LUKOIL;lukoil_other;PT_58_7009_31_4011;58.7009;31.4011;Бензин;Бензин;73500.0;05.03
Нефтебаза Подберезье (ЛИКАРД);LUKOIL;lukoil_other;PT_58_7009_31_4011;58.7009;31.4011;Бензин;Бензин;79700.0;05.03
Нефтебаза Подберезье (ЛИКАРД);LUKOIL;lukoil_other;PT_58_7009_31_4011;58.7009;31.4011;ДтЗ;ДтЗ;81600.01;05.03
Нефтебаза Подберезье (ЛИКАРД);LUKOIL;lukoil_other;PT_58_7009_31_4011;58.7009;31.4011;ДтЗ;ДтЗ;81700.0;05.03
Нефтебаза Псковская Псковнефть-Терминал (ЛИКАРД);LUKOIL;lukoil_other;PT_57_8028_28_4042;57.8028;28.4042;Бензин;Бензин;71900.0;05.03
Нефтебаза Псковская Псковнефть-Терминал (ЛИКАРД);LUKOIL;lukoil_other;PT_57_8028_28_4042;57.8028;28.4042;Бензин;Бензин;85583.0;05.03
Нефтебаза Псковская Псковнефть-Терминал (ЛИКАРД);LUKOIL;lukoil_other;PT_57_8028_28_4042;57.8028;28.4042;ДтЗ;ДтЗ;78300.0;05.03
Нефтебаза СГК-Лабытнанги (ЛИКАРД);LUKOIL;lukoil_other;PT_66_7091_66_2301;66.7091;66.2301;Бензин;Бензин;92400.0;05.03
Нефтебаза СГК-Лабытнанги (ЛИКАРД);LUKOIL;lukoil_other;PT_66_7091_66_2301;66.7091;66.2301;Бензин;Бензин;92500.0;05.03
Нефтебаза Севмаш (ЛИКАРД);LUKOIL;lukoil_other;PT_64_5784_39_8359;64.5784;39.8359;СУГ;СУГ;33500.0;05.03
Нефтебаза Стеклянная (ЛИКАРД);LUKOIL;lukoil_other;PT_60_3851_30_2389;60.3851;30.2389;Бензин;Бензин;79900.0;05.03
Нефтебаза Стеклянная (ЛИКАРД);LUKOIL;lukoil_other;PT_60_3851_30_2389;60.3851;30.2389;Бензин;Бензин;82100.0;05.03
Нефтебаза Стеклянная (ЛИКАРД);LUKOIL;lukoil_other;PT_60_3851_30_2389;60.3851;30.2389;Бензин;Бензин;83900.0;05.03
Нефтебаза Стеклянная (ЛИКАРД);LUKOIL;lukoil_other;PT_60_3851_30_2389;60.3851;30.2389;ДтЗ;ДтЗ;78000.0;05.03
Нефтебаза Стеклянная (ЛИКАРД);LUKOIL;lukoil_other;PT_60_3851_30_2389;60.3851;30.2389;ДтЗ;ДтЗ;80500.0;05.03
Нефтебаза Стеклянная (ЛИКАРД);LUKOIL;lukoil_other;PT_60_3851_30_2389;60.3851;30.2389;ДтЗ;ДтЗ;81000.0;05.03
Нефтебаза Томицы (ЛИКАРД);LUKOIL;lukoil_other;PT_61_8477_34_2509;61.8477;34.2509;Бензин;Бензин;71700.0;05.03
Нефтебаза Томицы (ЛИКАРД);LUKOIL;lukoil_other;PT_61_8477_34_2509;61.8477;34.2509;Бензин;Бензин;80000.0;05.03
Нефтебаза Томицы (ЛИКАРД);LUKOIL;lukoil_other;PT_61_8477_34_2509;61.8477;34.2509;Бензин;Бензин;86400.0;05.03
Нефтебаза Томицы (ЛИКАРД);LUKOIL;lukoil_other;PT_61_8477_34_2509;61.8477;34.2509;ДтЗ;ДтЗ;86600.0;05.03
Нефтебаза Усинская (ЛИКАРД);LUKOIL;lukoil_other;PT_65_9932_57_555;65.9932;57.555;Бензин;Бензин;78800.0;05.03
Нефтебаза Усинская (ЛИКАРД);LUKOIL;lukoil_other;PT_65_9932_57_555;65.9932;57.555;ДтЗ;ДтЗ;78900.0;05.03
"Нефтебаза хранения АО ""НТК"" (ЛИКАРД)";LUKOIL;lukoil_other;PT_59_8437_31_6061;59.8437;31.6061;Бензин;Бензин;85000.0;05.03
"Нефтебаза хранения АО ""НТК"" (ЛИКАРД)";LUKOIL;lukoil_other;PT_59_8437_31_6061;59.8437;31.6061;Бензин;Бензин;91653.0;05.03
"Нефтебаза хранения АО ""НТК"" (ЛИКАРД)";LUKOIL;lukoil_other;PT_59_8437_31_6061;59.8437;31.6061;ДтЗ;ДтЗ;78700.0;05.03
Нефтебаза Челябинск (ЛИКАРД);LUKOIL;lukoil_other;PT_55_0137_61_5003;55.0137;61.5003;Бензин;Бензин;69850.0;05.03
Нефтебаза Челябинск (ЛИКАРД);LUKOIL;lukoil_other;PT_55_0137_61_5003;55.0137;61.5003;Бензин;Бензин;75000.0;05.03
Нефтебаза Челябинск (ЛИКАРД);LUKOIL;lukoil_other;PT_55_0137_61_5003;55.0137;61.5003;Бензин;Бензин;76950.0;05.03
Тюменское РУ - НГСС (ЛИКАРД);LUKOIL;lukoil_other;PT_57_1517_65_5243;57.1517;65.5243;Бензин;Бензин;71750.01;05.03
Тюменское РУ - НГСС (ЛИКАРД);LUKOIL;lukoil_other;PT_57_1517_65_5243;57.1517;65.5243;Бензин;Бензин;74050.0;05.03
Тюменское РУ - НГСС (ЛИКАРД);LUKOIL;lukoil_other;PT_57_1517_65_5243;57.1517;65.5243;ДтЗ;ДтЗ;81800.0;05.03
Пункт налива СУГ г.Пенза (ЛИКАРД);LUKOIL;lukoil_other;PT_53_2341_44_9778;53.2341;44.9778;СУГ;СУГ;31000.0;05.03
Софринская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_56_1521_37_9887;56.1521;37.9887;ДтЗ;ДтЗ;75700.0;05.03
Старомарьевская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_45_0989_42_2083;45.0989;42.2083;Бензин;Бензин;67000.0;05.03
Старомарьевская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_45_0989_42_2083;45.0989;42.2083;Бензин;Бензин;75000.0;05.03
Старомарьевская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_45_0989_42_2083;45.0989;42.2083;СУГ;СУГ;35400.0;05.03
Судогодская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_55_9443_41_151;55.9443;41.151;Бензин;Бензин;77700.01;05.03
Судогодская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_55_9443_41_151;55.9443;41.151;ДтЗ;ДтЗ;75300.0;05.03
Сулинская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_47_8817_40_1118;47.8817;40.1118;Бензин;Бензин;78200.0;05.03
Сулинская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_47_8817_40_1118;47.8817;40.1118;Бензин;Бензин;79090.0;05.03
ГНС ЗАО Кубаньмежрайгаз (ЛИКАРД);LUKOIL;lukoil_other;PT_45_3475_39_0759;45.3475;39.0759;СУГ;СУГ;35400.0;05.03
Энемская нефтебаза (ЛИКАРД);LUKOIL;lukoil_other;PT_44_9094_38_9135;44.9094;38.9135;Бензин;Бензин;67000.0;05.03
Липецкая нефтебаза (ЛИКАРД);LUKOIL;lukoil_term;PT_52_6943_39_4287;52.6943;39.4287;Топливо дизельное ЭКТО Diesel межсезонное, сорт E (ДТ-Е-К5) ;ДтЕ;63696.0;04.03
Судогодская нефтебаза (ЛИКАРД);LUKOIL;lukoil_term;PT_55_9443_41_151;55.9443;41.151;Топливо диз. ЭКТО Diesel кл.1 (ДТ-З-К5) ;ДтЗ;61782.0;04.03
Купавинская нефтебаза (ЛИКАРД);LUKOIL;lukoil_term;PT_55_8003_38_2039;55.8003;38.2039;Топливо диз. ЭКТО Diesel кл.1 (ДТ-З-К5) ;ДтЗ;62263.0;04.03
Софринская нефтебаза (ЛИКАРД);LUKOIL;lukoil_term;PT_56_1521_37_9887;56.1521;37.9887;Топливо диз. ЭКТО Diesel кл.1 (ДТ-З-К5) ;ДтЗ;65243.0;04.03
Кстовская нефтебаза (ЛИКАРД);LUKOIL;lukoil_term;PT_56_0925_44_1538;56.0925;44.1538;Топливо диз. ЕВРО Diesel кл.1 (ДТ-З-К5) ;Бензин;59158.0;04.03
;;;;;;;;;
СРЕДНЯЯ ЦЕНА;;;;;;;Бензин;72403.25;
СРЕДНЯЯ ЦЕНА;;;;;;;ДтА;74333.33;
СРЕДНЯЯ ЦЕНА;;;;;;;ДтЕ;63696.0;
СРЕДНЯЯ ЦЕНА;;;;;;;ДтЗ;76933.86;
СРЕДНЯЯ ЦЕНА;;;;;;;СУГ;35700.0;
