Название;Компания;Сегмент;Топливо;Категория;Цена;Дата
ТАНЕКО;SPIMEX;spimex;"Бензин (АИ-92-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)";Бензин;65636.0;12.03
ТАНЕКО;SPIMEX;spimex;"Бензин (АИ-95-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)";Бензин;67500.0;12.03
ТАНЕКО;SPIMEX;spimex;"Бензин (АИ-100-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)";Бензин;97000.0;12.03
ТАНЕКО;SPIMEX;spimex;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, ТАНЕКО (самовывоз
автотранспортом)";ДтЕ;65909.0;12.03
ТАНЕКО;SPIMEX;spimex;"ДТ класс 2 (ДТ-З-К5) минус 32 EURO-6, ТАНЕКО (самовывоз
автотранспортом)";ДтЗ;67000.0;12.03
НБ Абаканская;SPIMEX;spimex;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Абаканская (самовывоз автотранспортом)";Бензин;68500.0;12.03
НБ Абаканская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Абаканская (самовывоз автотранспортом)";Бензин;74000.0;12.03
НБ Абаканская;SPIMEX;spimex;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, НБ Абаканская
(самовывоз автотранспортом)";ДтЗ;77500.0;12.03
Ачинский НПЗ;SPIMEX;spimex;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Ачинский НПЗ (самовывоз автотранспортом)";Бензин;62429.0;12.03
Ачинский НПЗ;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Ачинский НПЗ (самовывоз автотранспортом)";Бензин;70500.0;12.03
Ачинский НПЗ;SPIMEX;spimex;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Ачинский НПЗ
(самовывоз автотранспортом)";ДтЗ;73308.0;12.03
Сургутский ЗСК (АСН);SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, АСН
Сургутский ЗСК (самовывоз автотранспортом)";Бензин;59769.0;12.03
Сургутский ЗСК (АСН);SPIMEX;spimex;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, АСН
Сургутский ЗСК (самовывоз автотранспортом)";Бензин;64676.0;12.03
Сургутский ЗСК (АСН);SPIMEX;spimex;"ДТ вид 4 (ДТ-А-К5) минус 44, АСН Сургутский ЗСК (самовывоз
автотранспортом)";ДтА;72500.0;12.03
Комсомольский НПЗ (СН);SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, СН
КНПЗ (самовывоз автотранспортом)";Бензин;72222.0;12.03
Комсомольский НПЗ (СН);SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, СН
КНПЗ (самовывоз автотранспортом)";Бензин;81000.0;12.03
Комсомольский НПЗ (СН);SPIMEX;spimex;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, СН КНПЗ (самовывоз
автотранспортом)";ДтЗ;83801.0;12.03
НБ Челябинская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Челябинская НБ (самовывоз автотранспортом)";Бензин;66250.0;12.03
НБ Энергия-Байт;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Энергия-Байт (самовывоз автотранспортом)";Бензин;67000.0;12.03
НБ Энгельcская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Энгельская (самовывоз автотранспортом)";Бензин;68500.0;12.03
НБ Кудьминская;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Кудьминская (самовывоз автотранспортом)";Бензин;66725.0;12.03
НБ Кудьминская;SPIMEX;spimex;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, НБ Кудьминская
(самовывоз автотранспортом)";ДтЕ;65308.0;12.03
НБ Когалым;SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Когалым (самовывоз автотранспортом)";Бензин;72640.0;12.03
НБ Когалым;SPIMEX;spimex;"Бензин (АИ-95-К5) по ГОСТ, НБ Когалым (самовывоз
автотранспортом)";Бензин;75920.0;12.03
НБ Когалым;SPIMEX;spimex;"ДТ ЕВРО класс 3 (ДТ-З-К5) минус 38, НБ Когалым (самовывоз
автотранспортом)";ДтЗ;77810.0;12.03
НБ Латная;SPIMEX;spimex;"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), НБ
Латная (самовывоз автотранспортом)";Бензин;71000.0;12.03
НБ Оленегорская;SPIMEX;spimex;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Оленегорская (самовывоз автотранспортом)";Бензин;74050.0;12.03
НБ Оленегорская;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Оленегорская (самовывоз автотранспортом)";Бензин;75550.0;12.03
НБ Оленегорская;SPIMEX;spimex;"ДТ (ДТ-З-К5) минус 32, НБ Оленегорская (самовывоз
автотранспортом)";ДтЗ;78133.0;12.03
